id;address;pricePerSqm;yearBuilt;sourceLink;salePrice;size;roomInfo;houseType;postcode
855;Sorvarintie 4 A, Välivainio Oulu;2860;2011;http://www.etuovi.com/kohde/7732357?sc=M1042147289&pos=876;123000;43;2h, kk, s;Kerrostalo;90530
859;Vapakuja 2, Oulunsalo Oulu;1796;2009;http://www.etuovi.com/kohde/1195105?sc=M1042147289&pos=880;185000;103;4h, k, s, hh/wc, khh, wc;Omakotitalo;90470
868;Kauppilanranta 21 B6, Ranta-Kastelli Oulu;2459;1986;http://www.etuovi.com/kohde/9538674?sc=M1042147289&pos=889;154900;63;2h+k+sa;Rivitalo;90230
899;Muottikatu 10 D61, Alppila Oulu;2841;2014;http://www.etuovi.com/kohde/9954936?sc=M1042147289&pos=920;144900;51;2h+kk+sa;Kerrostalo;90530
954;Kyytitie 19 C, Heikkilänkangas Oulu;1883;2002;http://www.etuovi.com/kohde/e26937?sc=M1042147289&pos=976;113000;60;2h+k+vh+ph+sa;Rivitalo;90310
980;Leppälahdentie 11, Varjakka Oulu;1113;1965;http://www.etuovi.com/kohde/1194812?sc=M1042147289&pos=1002;89000;80;3h, k, s;Omakotitalo;90470
1023;Sarvipöllönkuja 12 A, Kuivasjärvi Oulu;1568;1981;http://www.etuovi.com/kohde/7731868?sc=M1042147289&pos=1045;92500;59;2h, k, s;Rivitalo;90540
1070;Alalaanilantie 8 A, Tuira Oulu;1584;1978;http://www.etuovi.com/kohde/e44392?sc=M1042147289&pos=1093;179000;113;5h+k+kaksi kh+lasitettu parveke;Kerrostalo;90500
1123;Ratamopolku 6, Jääli Oulu;2238;2017;http://www.etuovi.com/kohde/9729455?sc=M1042147289&pos=1147;235000;105;3 mh + oh+k+ruok+khh+ph+s+wc+vh;Omakotitalo;90940
1212;Kauppaporvarintie 13, Kaijonranta Oulu;1592;1984;http://www.etuovi.com/kohde/9548031?sc=M1042147289&pos=1224;156000;98;4h, k, kph, s, 2 wc;Rivitalo;90570
1266;Karvarinkuja 4, Myllyoja Oulu;1188;1975;http://www.etuovi.com/kohde/1194548?sc=M1042147289&pos=1283;95000;80;3h, k, s, lasit parv, autotalli;Rivitalo;90650
1269;Metsänkuninkaantie 42 D 19, Hiironen Oulu;2451;2012;http://www.etuovi.com/kohde/2204464?sc=M1042147289&pos=1286;174000;71;3h-K-kph/wc-S-wc;Rivitalo;90250
